lBy;lOwnerid;lparent
ajayhawkfan;244955;GC1005H
DetDaddy;921692;GC1005H
jfurman;101359;GC1005H
phoebe1;808829;GC1005H
eagle usa;1005863;GC1005H
DetDaddy;921692;GC1005H
DetDaddy;921692;GC1005H
DetDaddy;921692;GC1005H
DetDaddy;921692;GC1005H
Tollybrew;182236;GC1005H
The Swashbucklers;1018572;GC1005H
fatfogy;881179;GC1005H
smcewen;770681;GC1005H
RoadTrip;201545;GC1005H
solarwib;42258;GC100BQ
r_we_there_yet;1291631;GC100BQ
on_a_quest;1282036;GC100BQ
Rec_man2001;85325;GC100BQ
Little River Rats;241638;GC100BQ
Cabear;184218;GC100BQ
O-Mega;269120;GC100BQ
lovetofly;589548;GC100BQ
surf89;1114213;GC100BQ
snfromky;675255;GC100BQ
Goodman4;1015459;GC100BQ
The-Highlander;1017893;GC100BQ
coon&bebe;427249;GC100BQ
mho1970;957002;GC100BQ
trkr75;797486;GC100BQ
GEO-KEO;601012;GC100BQ
flowersdaddy;507349;GC100BQ
princedragonfly;849743;GC100BQ
GranNan;667501;GC100JQ
tyrohiker;1391363;GC100JQ
synurj3;1415646;GC100JQ
B@shful;774381;GC100JQ
jimmylogan;773078;GC100JQ
prontopup;533727;GC100JQ
Jolly Acre Ravens;1226110;GC100JQ
netinator;1045194;GC100JQ
Tribble157;51821;GC100JQ
KC_Chiefs;161425;GC100JQ
Geo13;34889;GC100JQ
pogwog;824677;GC100JQ
Lucky72315;1047978;GC100JQ
jr8fan;538868;GC100JQ
_ZZ_;164757;GC100JQ
WASKO;167122;GC100JQ
Doug&Di;1162305;GC100JQ
ar_kayaker;541719;GC100JQ
dchornburg;1089677;GC100JQ
MarioCacher;855062;GC100JQ
ronbo;100125;GC100JQ
jacksonb;657480;GC100JQ
KY Hiker;133887;GC100JQ
sciwiz1;1223249;GC100RE
light feather;809317;GC100RE
phoebe1;808829;GC100RE
1 CW OP;760542;GC100RE
eagle usa;1005863;GC100RE
Kerstin76;349343;GC100RE
mjipitch;253892;GC100RE
dlund100;1027847;GC100RE
bakdoc;890431;GC100RE
GoodHunting;45046;GC100RE
roelsch;29948;GC100RE
Mean Gene;7108;GC100RE
joranda;503984;GC100RE
Cav Scout;270927;GC100RE
Hobbit Taz;933682;GC100RM
CribbageWitch;956939;GC100RM
browneyedgirl7;1475455;GC100RM
cavebear7;977685;GC100RM
sciwiz1;1223249;GC100RM
TwoCat;257441;GC100RM
TwoSpiders;263032;GC100RM
phoebe1;808829;GC100RM
eagle usa;1005863;GC100RM
light feather;809317;GC100RM
1 CW OP;760542;GC100RM
Kerstin76;349343;GC100RM
RadioactiveGrl;874702;GC100RM
medic161;504628;GC100RM
mjipitch;253892;GC100RM
dlund100;1027847;GC100RM
blackjeep1989;692270;GC100RM
robost;817641;GC100RM
NebulousNimrod;745842;GC100RM
NebulousNimrod;745842;GC100RM
bakdoc;890431;GC100RM
Rocket Girl;337469;GC100RM
MutherAndSun;944590;GC100RM
GoodHunting;45046;GC100RM
roelsch;29948;GC100RM
Mean Gene;7108;GC100RM
CribbageWitch;956939;GC100RQ
Hobbit Taz;933682;GC100RQ
browneyedgirl7;1475455;GC100RQ
cavebear7;977685;GC100RQ
s8monkey;1383079;GC100RQ
sciwiz1;1223249;GC100RQ
TwoCat;257441;GC100RQ
TwoSpiders;263032;GC100RQ
phoebe1;808829;GC100RQ
eagle usa;1005863;GC100RQ
light feather;809317;GC100RQ
1 CW OP;760542;GC100RQ
u3putt2;1283414;GC100RQ
u3putt2;1283414;GC100RQ
u3putt2;1283414;GC100RQ
Kerstin76;349343;GC100RQ
RadioactiveGrl;874702;GC100RQ
medic161;504628;GC100RQ
mjipitch;253892;GC100RQ
blackjeep1989;692270;GC100RQ
L&J hotwheels;92352;GC100RQ
robost;817641;GC100RQ
bakdoc;890431;GC100RQ
Rocket Girl;337469;GC100RQ
MutherAndSun;944590;GC100RQ
GoodHunting;45046;GC100RQ
bootch;205797;GC100RQ
roelsch;29948;GC100RQ
s8monkey;1383079;GC100RY
sciwiz1;1223249;GC100RY
TwoCat;257441;GC100RY
TwoSpiders;263032;GC100RY
phoebe1;808829;GC100RY
eagle usa;1005863;GC100RY
light feather;809317;GC100RY
1 CW OP;760542;GC100RY
u3putt2;1283414;GC100RY
Kerstin76;349343;GC100RY
RadioactiveGrl;874702;GC100RY
medic161;504628;GC100RY
mjipitch;253892;GC100RY
dlund100;1027847;GC100RY
blackjeep1989;692270;GC100RY
NebulousNimrod;745842;GC100RY
bakdoc;890431;GC100RY
Rocket Girl;337469;GC100RY
MutherAndSun;944590;GC100RY
GoodHunting;45046;GC100RY
roelsch;29948;GC100RY
Mean Gene;7108;GC100RY
sciwiz1;1223249;GC100T9
phoebe1;808829;GC100T9
eagle usa;1005863;GC100T9
light feather;809317;GC100T9
1 CW OP;760542;GC100T9
Kerstin76;349343;GC100T9
mjipitch;253892;GC100T9
dlund100;1027847;GC100T9
u3putt2;1283414;GC100T9
TwoSpiders;263032;GC100T9
blackjeep1989;692270;GC100T9
robost;817641;GC100T9
bakdoc;890431;GC100T9
Rocket Girl;337469;GC100T9
MutherAndSun;944590;GC100T9
GoodHunting;45046;GC100T9
bootch;205797;GC100T9
roelsch;29948;GC100T9
s8monkey;1383079;GC100TG
sciwiz1;1223249;GC100TG
light feather;809317;GC100TG
phoebe1;808829;GC100TG
1 CW OP;760542;GC100TG
eagle usa;1005863;GC100TG
Kerstin76;349343;GC100TG
mjipitch;253892;GC100TG
bakdoc;890431;GC100TG
2~Sherlocks;114471;GC100TG
Rocket Girl;337469;GC100TG
MutherAndSun;944590;GC100TG
GoodHunting;45046;GC100TG
roelsch;29948;GC100TG
Mean Gene;7108;GC100TG
s8monkey;1383079;GC100TQ
sciwiz1;1223249;GC100TQ
TwoCat;257441;GC100TQ
light feather;809317;GC100TQ
phoebe1;808829;GC100TQ
1 CW OP;760542;GC100TQ
eagle usa;1005863;GC100TQ
Kerstin76;349343;GC100TQ
RadioactiveGrl;874702;GC100TQ
medic161;504628;GC100TQ
mjipitch;253892;GC100TQ
u3putt2;1283414;GC100TQ
dlund100;1027847;GC100TQ
TwoSpiders;263032;GC100TQ
bakdoc;890431;GC100TQ
Rocket Girl;337469;GC100TQ
MutherAndSun;944590;GC100TQ
GoodHunting;45046;GC100TQ
bootch;205797;GC100TQ
roelsch;29948;GC100TQ
Mean Gene;7108;GC100TQ
s8monkey;1383079;GC100TW
sciwiz1;1223249;GC100TW
light feather;809317;GC100TW
1 CW OP;760542;GC100TW
phoebe1;808829;GC100TW
eagle usa;1005863;GC100TW
Kerstin76;349343;GC100TW
RadioactiveGrl;874702;GC100TW
medic161;504628;GC100TW
mjipitch;253892;GC100TW
dlund100;1027847;GC100TW
bakdoc;890431;GC100TW
Rocket Girl;337469;GC100TW
MutherAndSun;944590;GC100TW
GoodHunting;45046;GC100TW
roelsch;29948;GC100TW
Mean Gene;7108;GC100TW
joranda;503984;GC100TW
s8monkey;1383079;GC100V3
sciwiz1;1223249;GC100V3
TwoCat;257441;GC100V3
TwoSpiders;263032;GC100V3
light feather;809317;GC100V3
phoebe1;808829;GC100V3
1 CW OP;760542;GC100V3
