CacheType;Container;Difficulty;Terrain
Other;Unknown;1.0;1.0
Traditional;Micro;1.5;1.5
Traditional;Micro;3.0;1.5
Traditional;Micro;2.0;1.0
Multi;Regular;2.0;1.5
Multi;Regular;2.0;2.0
Multi;Small;4.0;3.5
Multi;Micro;2.0;1.0
Traditional;Large;1.5;1.0
Multi;Regular;2.5;1.5
Multi;Regular;2.0;2.5
Multi;Regular;1.5;1.5
Unknown\Mystery;Micro;3.5;1.0
Traditional;Regular;1.0;1.5
Traditional;Regular;2.0;3.0
Traditional;Micro;1.5;1.0
Multi;Regular;2.0;1.5
Traditional;Micro;1.0;2.0
Traditional;Regular;1.0;1.0
Traditional;Regular;1.5;1.5
Traditional;Regular;1.5;1.5
Traditional;Regular;2.5;1.0
Traditional;Regular;1.0;2.0
Traditional;Regular;1.5;1.5
Traditional;Micro;1.5;1.5
Traditional;Micro;1.5;1.0
Multi;Micro;3.0;3.0
Traditional;Other;1.5;1.0
Traditional;Small;2.0;2.0
Traditional;Micro;1.0;1.0
Traditional;Regular;1.0;1.5
Traditional;Small;1.5;1.5
Traditional;Micro;1.5;1.0
Traditional;Small;1.0;1.0
Traditional;Regular;3.0;3.0
Traditional;Small;1.0;1.0
Traditional;Micro;2.0;1.0
Traditional;Regular;1.0;1.5
Multi;Regular;2.5;1.5
Traditional;Micro;1.0;1.0
Traditional;Regular;1.5;1.5
Traditional;Regular;2.5;2.0
Traditional;Regular;1.5;1.5
Traditional;Regular;1.5;1.5
Traditional;Not chosen;2.0;2.0
Traditional;Micro;1.0;1.0
Traditional;Regular;2.0;2.5
Traditional;Regular;3.0;3.5
Multi;Regular;1.5;1.0
Traditional;Small;2.5;2.5
Traditional;Regular;1.0;1.0
Traditional;Regular;1.0;1.0
Traditional;Regular;1.5;3.0
Traditional;Regular;1.5;2.5
Multi;Not chosen;4.0;3.5
Multi;Regular;1.5;1.0
Traditional;Regular;1.0;1.0
Traditional;Regular;1.0;1.0
Unknown\Mystery;Large;4.5;4.5
Traditional;Regular;2.0;2.0
Traditional;Regular;1.0;1.0
Traditional;Regular;2.0;3.0
Traditional;Regular;1.5;1.5
Traditional;Regular;1.5;2.0
Traditional;Small;2.0;2.5
Traditional;Regular;2.5;2.0
Traditional;Micro;2.5;1.0
Traditional;Regular;4.5;4.5
Traditional;Micro;1.0;1.0
Traditional;Regular;1.0;1.5
Traditional;Regular;2.0;2.0
Traditional;Micro;2.0;1.0
Traditional;Micro;2.0;1.0
Traditional;Micro;2.0;2.0
Multi;Regular;2.0;3.0
Traditional;Regular;2.0;2.5
Multi;Regular;4.5;4.5
