lParent;lType;lBy;lDate;lLogid;lOwnerid
GC10P73;Didn't find it;mdrlsweet;2008-06-13;46422476;G1685636
GC10P73;Didn't find it;myotis;2008-03-08;40189090;G11234
GC10P73;Didn't find it;cartoboy123;2008-03-01;39836167;G698087
GC10P73;Found it;beladi1;2008-01-28;38336089;G1080795
GC10P73;Found it;djaco4;2008-01-12;37716757;G1414188
GC10P73;Didn't find it;JustUsTwo;2007-12-31;37303767;G91151
GC10P73;Found it;Wheelinb;2007-12-26;36761133;G861923
GC10P73;Found it;Brat05;2007-12-22;36610289;G1307566
GC10P73;Found it;shadow 25;2007-12-22;36608084;G1307557
GC10P73;Found it;REDBUDHOOTIE;2007-12-22;36608020;G1306329
GC10P73;Didn't find it;beladi1;2007-12-20;36559358;G1080795
GC10P73;Didn't find it;beladi1;2007-12-17;36558863;G1080795
GC10P73;Found it;dadn2cachers;2007-11-23;35724655;G1313587
GC10P73;Didn't find it;dadn2cachers;2007-11-22;35680443;G1313587
GC10P73;Found it;RadioactiveGrl;2007-11-10;35333583;G874702
GC10P73;Found it;medic161;2007-11-10;35282860;G504628
GC10P73;Found it;Landesign;2007-11-04;35010599;G727719
GC10P73;Found it;MMAPgirl;2007-10-27;35708945;G592591
GC10P73;Found it;mmeese;2007-10-27;34597629;G285335
GC10P73;Found it;lake_wannabees;2007-10-21;34326984;G677965
GC10P73;Didn't find it;lake_wannabees;2007-10-15;34077810;G677965
GC10P73;Found it;CribbageWitch;2007-09-09;32411629;G956939
GC10P73;Found it;2_cats;2007-09-02;32012389;G610181
GC10P73;Found it;pandyandy;2007-09-01;31960291;G290699
GC10P73;Found it;Phil 4:13;2007-08-30;36731537;G817288
GC10P73;Found it;Hobbit Taz;2007-08-26;31715389;G933682
GC10P73;Found it;Happykraut;2007-08-23;31711447;G100925
GC10P73;Found it;konopapw;2007-08-23;31563442;G19497
GC10P73;Found it;K-TEAM;2007-08-23;31548633;G30060
GC10P73;Found it;CHAOS!;2007-08-05;30667461;G457693
GC10P73;Write note;Misstiff;2007-07-18;29819993;G731709
GC10P73;Found it;Deut31-8;2007-07-05;29150059;G362115
GC10P73;Found it;AMH209;2007-07-05;29147293;G265570
GC10P73;Found it;roelsch;2007-06-23;28645167;G29948
GC10P73;Found it;Mean Gene;2007-06-23;28619922;G7108
GC10P73;Found it;Al & Mylea;2007-06-13;28209795;G424790
GC10P73;Found it;L Frank;2007-06-12;28165267;G1017538
GC10P73;Found it;battleskunk;2007-06-06;27917594;G91164
GC10P73;Found it;CacheRcheck;2007-06-06;27878598;G90721
GC10P73;Found it;cyberwolph;2007-06-01;28070698;G507596
GC10P73;Write note;yawetag;2007-05-26;30436238;G1003256
GC10P73;Found it;Crazy4Moose;2007-05-26;27391599;G935764
GC10P73;Found it;yawetag;2007-05-26;27336867;G1003256
GC10P73;Found it;Cycle Ken;2007-05-26;27336055;G502248
GC10P73;Found it;lobocs;2007-05-26;27330942;G920838
GC10P73;Found it;plpwalker;2007-05-26;27318472;G948009
GC10P73;Found it;Bannal;2007-05-26;27316499;G920836
GC10P73;Found it;YoungBlood85;2007-05-24;27240547;G573909
GC10P73;Found it;oldhippie73;2007-05-21;27440929;G960780
GC10P73;Found it;meslim;2007-05-19;27031526;G495457
GC10P73;Found it;spongebob14;2007-05-12;26878282;G478546
GC10P73;Found it;BBD1;2007-05-04;26417289;G638176
GC10P73;Found it;jehammon;2007-04-27;26097066;G1051652
GC10P73;Didn't find it;meslim;2007-04-22;25938816;G495457
GC10P73;Found it;pa;2007-04-09;25362114;G46700
GC10P73;Found it;RGS;2007-04-09;25352473;G27639
GC10P73;Found it;Gubbielarson;2007-04-08;25281503;G233807
GC10P73;Found it;JC_Geo;2007-04-06;25162085;G448150
GC10P73;Found it;talks funny;2007-03-21;29199920;G101178
GC10P73;Didn't find it;roelsch;2007-03-17;24431821;G29948
GC10P73;Found it;NormV;2007-03-13;24307368;G89198
GC10P73;Found it;Hid Pro Quo;2007-03-13;24259112;G34043
GC10P73;Found it;goshhawk;2007-03-13;24253359;G45784
GC10P73;Found it;Le-roy;2007-03-13;24250273;G88360
GC10P73;Found it;Beadwrkr;2007-03-10;24094727;G271650
GC10P73;Found it;Gerhardus;2007-02-20;23579457;G418856
GC10P73;Found it;lancelot;2007-02-18;23542891;G40358
GC10P73;Didn't find it;Gerhardus;2007-02-18;23517852;G418856
GC10P73;Found it;Crowesfeat30;2007-02-17;23602115;G271377
GC10P73;Found it;Strider;2007-02-17;23479828;G3258
