Code;Latitude;Longitude;Latcat;Loncat
HOME;38.450667;-90.21635;12845;8978
GC18CB6;38.456267;-90.2992;12845;8970
GC18J3H;38.564717;-90.266783;12856;8973
GCVX07;38.513867;-90.435083;12851;8956
GC14C7C;38.613917;-90.3309;12861;8966
GC10YHT;38.620417;-90.327283;12862;8967
GCCD0A;38.6086;-90.369783;12860;8963
GC17X61;38.6239;-90.345533;12862;8965
GC11B9A;38.623217;-90.36875;12862;8963
GC18EH8;38.551017;-90.47155;12855;8952
GC13QR9;38.545567;-90.475567;12854;8952
GC3640;38.538817;-90.489467;12853;8951
GCKYCQ;38.591133;-90.479833;12859;8952
GC2E0E;38.56365;-90.502083;12856;8949
GCG3F7;38.5208;-90.524033;12852;8947
GCPFN8;38.66935;-90.377683;12866;8962
GC187PW;38.564567;-90.505633;12856;8949
GC3733;38.563217;-90.50855;12856;8949
GC18G8R;38.534633;-90.52905;12853;8947
GCNPB5;38.64895;-90.432717;12864;8956
GC16KAA;38.545567;-90.5347;12854;8946
GC10FGB;38.5358;-90.5398;12853;8946
GC14AW4;38.587;-90.510833;12858;8948
GCZYEM;38.568883;-90.524617;12856;8947
GCABF1;38.5481;-90.536883;12854;8946
GC17WM1;38.235283;-90.424767;12823;8957
GC1C3;38.5549;-90.53575;12855;8946
GC1859;38.700367;-90.0803;12870;8991
GCG9FY;38.54955;-90.540133;12854;8945
GCN6DX;38.640417;-90.467217;12864;8953
GCP0MK;38.552717;-90.543017;12855;8945
GCQKEQ;38.569867;-90.5343;12856;8946
GC16CX1;38.711767;-90.334167;12871;8966
GCGT9H;38.54735;-90.54875;12854;8945
GC7CD6;38.54825;-90.550617;12854;8944
GCT39N;38.55555;-90.547317;12855;8945
GCHQ36;38.54825;-90.553617;12854;8944
GCZQ9F;38.725717;-90.299433;12872;8970
GCZN80;38.732867;-90.29735;12873;8970
GCVZFV;38.595883;-90.538217;12859;8946
GC15JR1;38.513917;-90.578933;12851;8942
GCYT6C;38.735383;-90.294967;12873;8970
GC17Y8V;38.720483;-90.35825;12872;8964
GC18HXP;38.509883;-90.581983;12850;8941
